"","intercept","exposure","log_scale","param","model"
"330",0.0636021057059945,0.0293230430187805,0.0413004328203671,"se","full"
"331",5.15100848904601,-0.409852440696561,-0.590691660418944,"coef","weighted"
"332",0.0596836214396366,0.026552877088931,0.0394531109690118,"se","weighted"
"333",NA,0.725468848394132,NA,"coef","coxfull"
"334",NA,0.0440002182695729,NA,"se","coxfull"
"335",NA,0.739108581007522,NA,"coef","coxweighted"
"336",NA,0.0595210475910446,NA,"se","coxweighted"
"337",5.13340993703907,-0.37403133725354,-0.578156218850452,"coef","full"
"338",0.060830887777995,0.0280763522637855,0.0407897054274988,"se","full"
"339",5.1614062573882,-0.385794604832415,-0.568116779829646,"coef","weighted"
"340",0.0623471032885848,0.0280838708724568,0.041214737325962,"se","weighted"
"341",NA,0.666187296066642,NA,"coef","coxfull"
"342",NA,0.0430011884455799,NA,"se","coxfull"
"343",NA,0.679255566500629,NA,"coef","coxweighted"
"344",NA,0.0580734862900566,NA,"se","coxweighted"
"345",5.10577009388845,-0.395362940730396,-0.601801212419541,"coef","full"
"346",0.0585369225513245,0.0276943222177541,0.0399937088108784,"se","full"
"347",5.07876665625585,-0.380863845151885,-0.612109075862533,"coef","weighted"
"348",0.056376587245928,0.0251424093292847,0.0394325687931752,"se","weighted"
"349",NA,0.721442601477028,NA,"coef","coxfull"
"350",NA,0.042711128088185,NA,"se","coxfull"
"351",NA,0.702633644702609,NA,"coef","coxweighted"
"352",NA,0.0624281462446414,NA,"se","coxweighted"
"353",5.05784018387819,-0.392538441852168,-0.621465486038885,"coef","full"
"354",0.0553165549474857,0.0267036993353052,0.0389019503590662,"se","full"
"355",5.08746055366147,-0.406048051047179,-0.598894987564196,"coef","weighted"
"356",0.054961815239864,0.0250638240843394,0.0381070422185712,"se","weighted"
"357",NA,0.729991628933329,NA,"coef","coxfull"
"358",NA,0.0417818090412116,NA,"se","coxfull"
"359",NA,0.738482810515106,NA,"coef","coxweighted"
"360",NA,0.0632001169336917,NA,"se","coxweighted"
"361",5.02453926838694,-0.371958899195854,-0.627878709841476,"coef","full"
"362",0.0534316183094239,0.0264122038399343,0.0385469200078229,"se","full"
"363",5.00768587935202,-0.34428278104776,-0.640576431604864,"coef","weighted"
"364",0.0537514904367827,0.0243895716071843,0.0394950406075755,"se","weighted"
"365",NA,0.69676519881218,NA,"coef","coxfull"
"366",NA,0.04230926805911,NA,"se","coxfull"
"367",NA,0.653772877039717,NA,"coef","coxweighted"
"368",NA,0.0526504745325664,NA,"se","coxweighted"
"369",5.20829424067364,-0.381047562545989,-0.514503172975916,"coef","full"
"370",0.0642849992678478,0.0301069964599199,0.0408082411189811,"se","full"
"371",5.20765654760254,-0.345153872491097,-0.518319847790432,"coef","weighted"
"372",0.0704394045741659,0.0300994267139806,0.0450007119355147,"se","weighted"
"373",NA,0.639209608076215,NA,"coef","coxfull"
"374",NA,0.0440590338036967,NA,"se","coxfull"
"375",NA,0.581451530583311,NA,"coef","coxweighted"
"376",NA,0.0558416383546581,NA,"se","coxweighted"
"377",5.22613515285413,-0.432437446689116,-0.495593071083953,"coef","full"
"378",0.0638593049892685,0.030387834227571,0.0395707771623507,"se","full"
"379",5.22106931784792,-0.423249663688848,-0.503009910762713,"coef","weighted"
"380",0.0622096581976845,0.0287276107617125,0.0386703157703368,"se","weighted"
"381",NA,0.709556495491316,NA,"coef","coxfull"
"382",NA,0.0424340216944544,NA,"se","coxfull"
"383",NA,0.700024977569327,NA,"coef","coxweighted"
"384",NA,0.0551788702409052,NA,"se","coxweighted"
"385",5.12416137504557,-0.37994167519301,-0.602146891947493,"coef","full"
"386",0.0608509956233562,0.0280571844720196,0.0411068792753041,"se","full"
"387",5.15094138461257,-0.390776492313684,-0.590678459464917,"coef","weighted"
"388",0.0612071191290762,0.0279974689153599,0.0408453455091371,"se","weighted"
"389",NA,0.693809116574441,NA,"coef","coxfull"
"390",NA,0.0435629220588091,NA,"se","coxfull"
"391",NA,0.705371496271331,NA,"coef","coxweighted"
"392",NA,0.0584134267943632,NA,"se","coxweighted"
"393",5.09347403041198,-0.413649909565797,-0.620572283893763,"coef","full"
"394",0.0583932261334444,0.0286766025493481,0.0402622851864922,"se","full"
"395",5.10508953212904,-0.416371123228597,-0.611686164692913,"coef","weighted"
"396",0.0562082738948569,0.0259406252893691,0.0389990449964066,"se","weighted"
"397",NA,0.768312367964467,NA,"coef","coxfull"
"398",NA,0.0450690377010107,NA,"se","coxfull"
"399",NA,0.766480153918577,NA,"coef","coxweighted"
"400",NA,0.0574581768372309,NA,"se","coxweighted"
"401",5.12534728815771,-0.410357716818876,-0.587383104976609,"coef","full"
"402",0.0602936922461942,0.029731410785358,0.0405931087824917,"se","full"
"403",5.12169766725339,-0.407409231821667,-0.591684512670076,"coef","weighted"
"404",0.0564944241670356,0.0267672240408081,0.0387040445489111,"se","weighted"
"405",NA,0.737223190837108,NA,"coef","coxfull"
"406",NA,0.0455891644897947,NA,"se","coxfull"
"407",NA,0.735343962682094,NA,"coef","coxweighted"
"408",NA,0.0595143671956653,NA,"se","coxweighted"
"409",5.06861243428808,-0.372539345485652,-0.626512101224327,"coef","full"
"410",0.0571429260940889,0.0273588857599089,0.0404487891345161,"se","full"
"411",5.05283343209254,-0.376150995187208,-0.631103182579975,"coef","weighted"
"412",0.0586440603710552,0.026328836904406,0.0422859907712929,"se","weighted"
"413",NA,0.697025920819112,NA,"coef","coxfull"
"414",NA,0.0438068789260265,NA,"se","coxfull"
"415",NA,0.706509582810231,NA,"coef","coxweighted"
"416",NA,0.0560897496636614,NA,"se","coxweighted"
"417",5.05716633190857,-0.332488331941778,-0.598012738670585,"coef","full"
"418",0.055956429049793,0.0265541047097979,0.0397191713196529,"se","full"
"419",5.03546975190761,-0.342601388715965,-0.615842164873181,"coef","weighted"
"420",0.0529723743346311,0.0241776960352554,0.0388376445848841,"se","weighted"
"421",NA,0.603680740317045,NA,"coef","coxfull"
"422",NA,0.0425951082900882,NA,"se","coxfull"
"423",NA,0.63371377248633,NA,"coef","coxweighted"
"424",NA,0.055259125194334,NA,"se","coxweighted"
"425",5.07019978838385,-0.361904740391818,-0.655684589629147,"coef","full"
"426",0.0581371750399232,0.0273022836799695,0.0412912873714913,"se","full"
"427",5.05284544959088,-0.368799689897518,-0.667033629789789,"coef","weighted"
"428",0.0554829360695614,0.0263254978241804,0.0400448730866683,"se","weighted"
"429",NA,0.696548925780018,NA,"coef","coxfull"
"430",NA,0.0451423937277089,NA,"se","coxfull"
"431",NA,0.717256787544456,NA,"coef","coxweighted"
